LOWER(category),contagem,válido
analysis,3,1
animation,3,1
artificial intelligence,2,1
authenticator,2,1
automation,6,1
backup,4,1
browser,14,1
browser extension,3,1
browsers,4,1
converter,2,1
cryptocurrency,13,1
cryptography,4,1
data analysis,4,1
data visualization,8,1
database,6,1
databases,7,1
deep learning,5,1
desktop automation,2,1
downloader,4,1
downloading,2,1
editor,20,1
encryption,7,1
extension,10,1
extensions,3,1
file conversion,2,1
file management,4,1
file sharing,3,1
firewall,3,1
framework,20,1
image processing,3,1
image viewer,2,1
installer,3,1
launcher,5,1
libraries,3,1
library,26,1
live streaming,2,1
machine learning,5,1
music player,4,1
neural networks,5,1
object detection,4,1
password management,2,1
password manager,2,1
peer-to-peer,3,1
reader,3,1
recording,3,1
remote desktop,2,1
screen capture,2,1
screen recorder,2,1
screen sharing,2,1
screenshot,2,1
steam,6,1
streaming,6,1
task manager,2,1
taskbar,3,1
text editor,5,1
text editors,3,1
time tracking,2,1
torrents,2,1
tracking,2,1
twitch extension,3,1
uploading,3,1
usb,5,1
video downloader,2,1
visualization,6,1
web browser,2,1
web browsers,11,1
10,3,0
2018-06-23,2,0
2d,4,0
3d,9,0
3d modeling,2,0
3d printing,3,0
accounting,3,0
accounts,2,0
action,2,0
adblocker,2,0
ai,2,0
and,3,0
and more,2,0
android,20,0
angular,13,0
animations,6,0
anime,6,0
api,20,0
api development,3,0
apis,3,0
app,51,0
apple music,2,0
apple tv,2,0
application,17,0
application development,2,0
application manager,2,0
applications,9,0
apps,7,0
aspnet core,2,0
assembly,2,0
assessment,2,0
assistant,2,0
audio,15,0
azure,2,0
azure sql db,2,0
backend,2,0
bilibili,3,0
bindings,2,0
bitcoin,8,0
blockchain,8,0
board,3,0
bot,6,0
brightness,3,0
budgeting,2,0
builder,2,0
business,2,0
c,59,0
cache,3,0
camera,3,0
card,2,0
card games,2,0
channel,2,0
chat,7,0
chrome,2,0
class library,2,0
classic,2,0
cli,5,0
client,27,0
clojure,2,0
cloud,3,0
cloud storage,3,0
cms,6,0
code,10,0
codebase,3,0
coding,2,0
collaboration,5,0
collaborative,3,0
collection,2,0
color palette,2,0
colors,3,0
common,2,0
communication,2,0
community,4,0
component,5,0
components,7,0
compression,2,0
computer,3,0
configuration,3,0
console,3,0
containers,2,0
content,2,0
content management,2,0
control,4,0
copy,2,0
core,3,0
crm,2,0
cross platform,5,0
cross-platform,25,0
css,6,0
csv,2,0
custom,2,0
customizable,3,0
cybersecurity,2,0
d3js,3,0
dark theme,2,0
dashboard,2,0
data,11,0
data discovery,2,0
data extraction,2,0
data storage,2,0
data structures,2,0
dataverse,2,0
debug,3,0
debugging,12,0
decentralized,5,0
demo,3,0
demos,2,0
