,LOWER(category),Contagem,,Primeiro crivo,,Segundo crivo,Final,,
TRUE,analysis,3,FALSE,analysis,FALSE,,,,marcar um x se fizer sentido a palavra (as primeiras tao marcada só de exemplo). apos ultimo crivo elas vem aqui pra lista abaixo
TRUE,animation,3,TRUE,animation,TRUE,animation,"animation,",,
TRUE,artificial intelligence,2,TRUE,artificial intelligence,TRUE,artificial intelligence,"artificial intelligence,",,
TRUE,authenticator,2,TRUE,authenticator,TRUE,authenticator,"authenticator,",,LISTA DAS PALAVRAS
TRUE,automation,6,TRUE,automation,TRUE,automation,"automation,",,"animation,artificial intelligence,authenticator,automation,browser,converter,cryptocurrency,data visualization,database,downloader,editor,extension,file management,framework,image viewer,library,object detection,peer-to-peer,reader,remote desktop,screen capture,screen recorder,screen sharing,steam,streaming,task manager,taskbar,time tracking,usb,3d,audio,blockchain,bot,camera,chat,color palette,compression,crm,design,diagram,discord,docker,drawing,drivers,email,engine,finance,game,geospatial,ide,iot,keyboard,kubernetes,midi,minecraft,monitor,music,notes,notifications,player,plugin,pomodoro,proxy,security,server,terminal,test,voice,wallet,"
TRUE,backup,4,FALSE,backup,FALSE,,,,
TRUE,browser,14,TRUE,browser,TRUE,browser,"browser,",,
TRUE,browser extension,3,FALSE,browser extension,FALSE,,,,
FALSE,browsers,4,FALSE,,FALSE,,,,
TRUE,converter,2,TRUE,converter,TRUE,converter,"converter,",,
TRUE,cryptocurrency,13,TRUE,cryptocurrency,TRUE,cryptocurrency,"cryptocurrency,",,
FALSE,cryptography,4,FALSE,,FALSE,,,,
FALSE,data analysis,4,FALSE,,FALSE,,,,
TRUE,data visualization,8,TRUE,data visualization,TRUE,data visualization,"data visualization,",,
TRUE,database,6,TRUE,database,TRUE,database,"database,",,
FALSE,databases,7,FALSE,,FALSE,,,,
FALSE,deep learning,5,FALSE,,FALSE,,,,
FALSE,desktop automation,2,FALSE,,FALSE,,,,
TRUE,downloader,4,TRUE,downloader,TRUE,downloader,"downloader,",,
FALSE,downloading,2,FALSE,,FALSE,,,,
TRUE,editor,20,TRUE,editor,TRUE,editor,"editor,",,
TRUE,encryption,7,FALSE,encryption,FALSE,,,,
TRUE,extension,10,TRUE,extension,TRUE,extension,"extension,",,
FALSE,extensions,3,FALSE,,FALSE,,,,
FALSE,file conversion,2,FALSE,,FALSE,,,,
TRUE,file management,4,TRUE,file management,TRUE,file management,"file management,",,
TRUE,file sharing,3,TRUE,file sharing,FALSE,file sharing,,,
TRUE,firewall,3,FALSE,firewall,FALSE,,,,
TRUE,framework,20,TRUE,framework,TRUE,framework,"framework,",,
TRUE,image processing,3,FALSE,image processing,FALSE,,,,
TRUE,image viewer,2,TRUE,image viewer,TRUE,image viewer,"image viewer,",,
